iter	Passed	Remaining
142	539	3235
143	543	3228
144	546	3223
145	549	3217
146	553	3208
147	555	3200
148	559	3193
149	562	3188
150	566	3182
151	569	3174
152	571	3165
153	574	3157
154	578	3151
155	582	3149
156	584	3140
157	587	3133
158	590	3124
159	593	3116
160	598	3117
161	601	3109
162	604	3103
163	607	3095
164	610	3087
165	614	3089
166	618	3084
167	621	3077
168	624	3070
169	628	3067
170	632	3064
171	635	3058
172	638	3050
173	641	3044
174	645	3041
175	648	3036
176	652	3031
177	656	3030
178	659	3025
179	663	3023
180	666	3017
181	669	3010
182	672	3004
183	676	2999
184	679	2994
185	682	2986
186	685	2980
187	688	2975
188	691	2968
189	695	2964
190	698	2956
191	700	2949
192	704	2945
193	707	2940
194	712	2939
195	715	2935
196	719	2931
197	722	2925
198	726	2924
199	729	2918
200	733	2914
201	735	2904
202	738	2897
203	741	2893
204	744	2888
205	747	2883
206	751	2877
207	754	2871
208	758	2869
209	761	2864
210	765	2863
211	769	2858
212	771	2852
213	775	2848
214	778	2842
215	781	2837
216	784	2831
217	787	2825
218	791	2821
219	794	2815
220	796	2809
221	800	2804
222	803	2798
223	806	2794
224	810	2791
225	814	2788
226	818	2786
227	822	2783
228	825	2779
229	829	2777
230	833	2774
231	837	2773
232	842	2772
233	846	2769
234	849	2766
235	852	2761
236	857	2760
237	860	2756
238	863	2750
239	866	2744
240	870	2740
241	873	2737
242	876	2731
243	879	2726
244	883	2721
245	886	2717
246	890	2714
247	893	2708
248	896	2702
249	899	2698
250	902	2692
251	906	2689
252	909	2684
253	912	2679
254	915	2673
255	918	2668
256	922	2666
257	926	2664
258	930	2663
259	934	2660
260	939	2660
261	943	2656
262	947	2655
263	952	2654
264	956	2653
265	961	2651
266	964	2647
267	967	2643
268	972	2641
269	975	2637
270	979	2633
271	981	2628
272	985	2623
273	989	2620
274	992	2615
275	995	2610
276	997	2604
277	1001	2601
278	1005	2597
279	1008	2592
280	1010	2586
281	1013	2581
282	1018	2580
283	1021	2575
284	1024	2570
285	1027	2565
286	1030	2559
287	1034	2557
288	1038	2554
289	1041	2549
290	1044	2545
291	1047	2540
292	1051	2537
293	1055	2533
294	1058	2528
295	1060	2523
296	1064	2520
297	1069	2518
298	1072	2514
299	1075	2509
300	1078	2504
301	1081	2500
302	1085	2496
303	1088	2491
304	1090	2485
305	1094	2482
306	1098	2479
307	1101	2475
308	1104	2470
309	1107	2465
310	1110	2461
311	1114	2457
312	1118	2454
313	1121	2449
314	1124	2445
315	1127	2440
316	1130	2436
317	1134	2433
318	1137	2428
319	1140	2423
320	1143	2418
321	1146	2415
322	1150	2412
323	1154	2409
324	1158	2405
325	1161	2400
326	1165	2399
327	1170	2397
328	1174	2394
329	1178	2391
330	1182	2390
331	1186	2386
332	1189	2383
333	1193	2379
334	1198	2378
335	1202	2376
336	1206	2373
337	1209	2369
338	1214	2368
339	1220	2369
340	1229	2376
341	1253	2412
342	1257	2409
343	1261	2405
344	1269	2409
345	1274	2409
346	1277	2404
347	1281	2400
348	1284	2396
349	1287	2391
350	1290	2385
351	1293	2381
352	1297	2377
353	1300	2372
354	1303	2368
355	1306	2364
356	1309	2359
357	1312	2354
358	1315	2349
359	1319	2345
360	1322	2340
361	1325	2335
362	1328	2331
363	1331	2327
364	1335	2322
365	1338	2317
366	1341	2313
367	1344	2309
368	1347	2304
369	1350	2299
370	1353	2295
371	1356	2290
372	1359	2285
373	1363	2281
374	1366	2277
375	1370	2273
376	1373	2269
377	1377	2266
378	1380	2261
379	1383	2257
380	1386	2253
381	1390	2249
382	1394	2245
383	1397	2241
384	1400	2236
385	1403	2232
386	1406	2227
387	1410	2224
388	1413	2219
389	1416	2214
390	1419	2210
391	1422	2206
392	1426	2202
393	1429	2198
394	1432	2194
395	1436	2190
396	1439	2186
397	1443	2183
398	1446	2179
399	1450	2175
400	1453	2171
401	1456	2166
402	1459	2162
403	1463	2158
404	1466	2154
405	1469	2150
406	1473	2147
407	1476	2142
408	1480	2139
409	1483	2134
410	1487	2131
411	1490	2127
412	1493	2123
413	1497	2118
414	1500	2114
415	1503	2110
416	1506	2106
417	1509	2102
418	1512	2097
419	1516	2094
420	1519	2089
421	1522	2085
422	1525	2081
423	1528	2076
424	1532	2073
425	1536	2070
426	1540	2067
427	1543	2062
428	1546	2058
429	1549	2054
430	1552	2049
431	1555	2045
432	1558	2041
433	1561	2036
434	1564	2032
435	1567	2028
436	1571	2024
437	1574	2020
438	1577	2016
439	1580	2011
440	1583	2007
441	1587	2003
442	1590	1999
443	1593	1995
444	1596	1991
445	1599	1986
446	1602	1982
447	1605	1978
448	1608	1974
449	1611	1970
450	1614	1965
451	1617	1961
452	1621	1957
453	1624	1953
454	1627	1949
455	1630	1944
456	1633	1940
457	1636	1937
458	1639	1932
459	1642	1928
460	1645	1924
461	1649	1920
462	1652	1916
463	1655	1912
464	1658	1908
465	1661	1904
466	1664	1899
467	1668	1896
468	1671	1892
469	1674	1888
470	1677	1883
471	1680	1879
472	1683	1875
473	1686	1871
474	1689	1867
475	1692	1863
476	1695	1859
477	1699	1855
478	1702	1852
479	1705	1848
480	1709	1844
481	1712	1840
482	1716	1837
483	1720	1834
484	1723	1830
485	1726	1825
486	1729	1821
487	1732	1817
488	1735	1814
489	1738	1809
490	1742	1806
491	1745	1802
492	1749	1798
493	1752	1795
494	1755	1790
495	1758	1786
496	1761	1782
497	1764	1778
498	1768	1775
499	1771	1771
500	1774	1767
501	1777	1762
502	1780	1758
503	1783	1755
504	1786	1750
505	1789	1746
506	1792	1743
507	1795	1738
508	1799	1735
509	1802	1731
510	1805	1727
511	1808	1723
512	1811	1719
513	1814	1715
514	1817	1711
515	1820	1707
516	1823	1703
517	1826	1699
518	1830	1696
519	1833	1692
520	1836	1688
521	1839	1684
522	1842	1680
523	1845	1676
524	1848	1672
525	1851	1668
526	1854	1664
527	1857	1660
528	1860	1656
529	1864	1653
530	1869	1651
531	1872	1647
532	1875	1643
533	1879	1640
534	1882	1636
535	1885	1632
536	1889	1628
537	1892	1624
538	1895	1621
539	1898	1617
540	1901	1613
541	1904	1609
542	1907	1605
543	1911	1602
544	1914	1598
545	1917	1594
546	1920	1590
547	1923	1586
548	1927	1583
549	1930	1579
550	1933	1575
551	1936	1571
552	1939	1567
553	1942	1563
554	1946	1560
555	1948	1556
556	1951	1552
557	1954	1548
558	1958	1544
559	1961	1540
560	1964	1537
561	1967	1533
562	1970	1529
563	1973	1525
564	1977	1522
565	1980	1518
566	1983	1514
567	1986	1510
568	1989	1507
569	1992	1503
570	1995	1499
571	1998	1495
572	2002	1492
573	2005	1488
574	2008	1484
575	2011	1480
576	2014	1477
577	2018	1473
578	2021	1469
579	2024	1465
580	2027	1462
581	2030	1458
582	2033	1454
583	2036	1450
584	2039	1446
585	2042	1442
586	2045	1439
587	2048	1435
588	2051	1431
589	2054	1427
590	2057	1423
591	2060	1420
592	2064	1416
593	2067	1412
594	2069	1408
595	2072	1405
596	2077	1402
597	2080	1398
598	2083	1394
599	2086	1390
600	2089	1387
601	2093	1383
602	2096	1380
603	2098	1376
604	2101	1372
605	2104	1368
606	2108	1365
607	2111	1361
608	2114	1357
609	2117	1353
610	2120	1350
611	2124	1347
612	2128	1343
613	2131	1340
614	2135	1336
615	2138	1333
616	2142	1329
617	2145	1326
618	2149	1322
619	2153	1319
620	2157	1316
621	2160	1312
622	2163	1309
623	2167	1305
624	2170	1302
625	2174	1298
626	2177	1295
627	2180	1291
628	2183	1288
629	2187	1284
630	2190	1281
631	2194	1277
632	2198	1274
633	2201	1270
634	2206	1268
635	2210	1265
636	2214	1261
637	2217	1258
638	2221	1254
639	2224	1251
640	2228	1247
641	2232	1244
642	2235	1241
643	2239	1237
644	2242	1234
645	2245	1230
646	2249	1227
647	2252	1223
648	2257	1220
649	2261	1217
650	2265	1214
651	2269	1211
652	2272	1207
653	2276	1204
654	2279	1200
655	2282	1197
656	2286	1193
657	2290	1190
658	2293	1186
659	2297	1183
660	2300	1180
661	2305	1177
662	2309	1173
663	2313	1170
664	2317	1167
665	2322	1164
666	2326	1161
667	2330	1158
668	2334	1154
669	2338	1151
670	2342	1148
671	2346	1145
672	2350	1141
673	2354	1138
674	2358	1135
675	2363	1132
676	2366	1129
677	2370	1125
678	2374	1122
679	2378	1119
680	2381	1115
681	2385	1112
682	2388	1108
683	2393	1105
684	2396	1102
685	2400	1098
686	2404	1095
687	2408	1092
688	2411	1088
689	2414	1084
690	2418	1081
691	2422	1078
692	2425	1074
693	2428	1070
694	2432	1067
695	2435	1063
696	2438	1060
697	2441	1056
698	2444	1052
699	2447	1049
700	2450	1045
701	2454	1041
702	2457	1038
703	2460	1034
704	2464	1031
705	2467	1027
706	2470	1023
707	2473	1020
708	2476	1016
709	2479	1012
710	2483	1009
711	2486	1005
712	2489	1001
713	2492	998
714	2496	994
715	2499	991
716	2502	987
717	2505	984
718	2508	980
719	2512	976
720	2515	973
721	2518	969
722	2522	966
723	2525	962
724	2528	959
725	2531	955
726	2534	951
727	2537	948
728	2540	944
729	2543	940
730	2547	937
731	2550	933
732	2553	930
733	2556	926
734	2559	922
735	2563	919
736	2566	915
737	2569	912
738	2572	908
739	2576	905
740	2580	901
741	2584	898
742	2588	895
743	2592	891
744	2596	888
745	2599	885
746	2602	881
747	2605	877
748	2608	874
749	2612	870
750	2616	867
751	2619	863
752	2622	860
753	2626	856
754	2630	853
755	2633	850
756	2637	846
757	2640	843
758	2645	839
759	2649	836
760	2652	833
761	2655	829
762	2660	826
763	2663	822
764	2666	819
765	2669	815
766	2673	812
767	2677	808
768	2680	805
769	2683	801
770	2686	798
771	2689	794
772	2694	791
773	2697	787
774	2700	784
775	2703	780
776	2707	777
777	2711	773
778	2715	770
779	2718	766
780	2721	763
781	2726	759
782	2729	756
783	2732	752
784	2735	749
785	2738	745
786	2742	742
787	2745	738
788	2748	735
789	2751	731
790	2755	728
791	2758	724
792	2761	720
793	2765	717
794	2768	713
795	2771	710
796	2775	706
797	2778	703
798	2781	699
799	2784	696
800	2787	692
801	2791	689
802	2795	685
803	2799	682
804	2803	679
805	2807	675
806	2811	672
807	2815	669
808	2819	665
809	2823	662
810	2827	658
811	2831	655
812	2834	652
813	2839	648
814	2842	645
815	2845	641
816	2848	637
817	2851	634
818	2854	630
819	2857	627
820	2861	623
821	2863	620
822	2866	616
823	2870	613
824	2873	609
825	2876	605
826	2879	602
827	2882	598
828	2885	595
829	2889	591
830	2892	588
831	2895	584
832	2898	581
833	2901	577
834	2905	574
835	2908	570
836	2911	567
837	2914	563
838	2918	560
839	2923	556
840	2927	553
841	2931	550
842	2937	547
843	2941	543
844	2944	540
845	2948	536
846	2953	533
847	2957	530
848	2961	526
849	2966	523
850	2971	520
851	2976	517
852	2980	513
853	2984	510
854	2988	506
855	2992	503
856	2995	499
857	2999	496
858	3004	493
859	3008	489
860	3012	486
861	3017	483
862	3021	479
863	3025	476
864	3029	472
865	3033	469
866	3037	465
867	3042	462
868	3046	459
869	3050	455
870	3054	452
871	3057	448
872	3061	445
873	3065	441
874	3069	438
875	3073	435
876	3077	431
877	3082	428
878	3086	424
879	3089	421
880	3093	417
881	3098	414
882	3102	411
883	3106	407
884	3109	404
885	3113	400
886	3118	397
887	3122	393
888	3126	390
889	3132	387
890	3136	383
891	3140	380
892	3144	376
893	3148	373
894	3152	369
895	3156	366
896	3160	362
897	3163	359
898	3167	355
899	3171	352
900	3175	348
901	3179	345
902	3183	341
903	3186	338
904	3190	334
905	3193	331
906	3197	327
907	3201	324
908	3205	320
909	3208	317
910	3213	313
911	3216	310
912	3220	306
913	3223	303
914	3230	300
915	3234	296
916	3240	293
917	3244	289
918	3248	286
919	3252	282
920	3256	279
921	3260	275
922	3264	272
923	3267	268
924	3271	265
925	3276	261
926	3279	258
927	3283	254
928	3286	251
929	3290	247
930	3294	244
931	3298	240
932	3302	237
933	3305	233
934	3309	230
935	3313	226
936	3316	223
937	3320	219
938	3324	215
939	3329	212
940	3333	208
941	3337	205
942	3344	202
943	3350	198
944	3354	195
945	3359	191
946	3364	188
947	3367	184
948	3371	181
949	3377	177
950	3381	174
951	3385	170
952	3389	167
953	3394	163
954	3401	160
955	3406	156
956	3411	153
957	3414	149
958	3418	146
959	3422	142
960	3427	139
961	3430	135
962	3436	132
963	3441	128
964	3445	124
965	3449	121
966	3452	117
967	3458	114
968	3463	110
969	3466	107
970	3470	103
971	3473	100
972	3476	96
973	3479	92
974	3482	89
975	3486	85
976	3489	82
977	3492	78
978	3495	74
979	3498	71
980	3502	67
981	3505	64
982	3508	60
983	3511	57
984	3514	53
985	3517	49
986	3521	46
987	3524	42
988	3527	39
989	3530	35
990	3533	32
991	3537	28
992	3540	24
993	3544	21
994	3547	17
995	3551	14
996	3555	10
997	3558	7
998	3561	3
999	3564	0
