iter	Logloss
0	0.6917140882
1	0.6898582822
2	0.6884450595
3	0.6872136967
4	0.6862135645
5	0.6842798981
6	0.6828090968
7	0.6814252665
8	0.6794920317
9	0.6781783483
10	0.6771098624
11	0.6761825514
12	0.6742646328
13	0.6731589151
14	0.6720180306
15	0.6710037076
16	0.6702300642
17	0.6694939349
18	0.668395913
19	0.6668939962
20	0.6658984016
21	0.6647855393
22	0.6638273373
23	0.6629795385
24	0.6620900044
25	0.6608369028
26	0.6595373374
27	0.6586879211
28	0.6579648157
29	0.6571344345
30	0.6563218115
31	0.6556960875
32	0.6543796068
33	0.6535434178
34	0.6530554537
35	0.6521399786
36	0.6511245266
37	0.6498443396
38	0.6489512628
39	0.6481701838
40	0.6475463908
41	0.6467688025
42	0.64600633
43	0.6454260693
44	0.6447120174
45	0.6439598889
46	0.6433136763
47	0.6426727019
48	0.6417543005
49	0.6411298795
50	0.6405653412
51	0.6400068861
52	0.6395140242
53	0.6389252327
54	0.6384194434
55	0.6379136618
56	0.6370508038
57	0.6365530975
58	0.6360230647
59	0.6356383983
60	0.6350498271
61	0.6341703951
62	0.633495686
63	0.632719345
64	0.6321387058
65	0.6315980779
66	0.6309543065
67	0.6303359332
68	0.6299865827
69	0.6294034883
70	0.6285177447
71	0.6277883898
72	0.6274239986
73	0.6269955632
74	0.626344446
75	0.6257743358
76	0.6253042907
77	0.6247281963
78	0.6241604161
79	0.6237989653
80	0.6233108102
81	0.6228843111
82	0.6224556916
83	0.6220869032
84	0.6215087891
85	0.6211344263
86	0.6204482514
87	0.6198861676
88	0.619555903
89	0.6190527763
90	0.6188030803
91	0.6183474326
92	0.6179204151
93	0.6175390627
94	0.6169509056
95	0.6163712749
96	0.6159278166
97	0.6152715337
98	0.6148077442
99	0.6142131677
100	0.6138953579
101	0.613545604
102	0.6129986739
103	0.6124554373
104	0.6119321945
105	0.611494432
106	0.610945025
107	0.6104479287
108	0.6099840656
109	0.6095249256
110	0.6091665187
111	0.6089309518
112	0.6087454075
113	0.6081322941
114	0.6076497436
115	0.6072659371
116	0.6069451974
117	0.6064076262
118	0.6060835265
119	0.6057081425
120	0.6052032716
121	0.6049343504
122	0.6044809979
123	0.6039944449
124	0.6035908205
125	0.6031067219
126	0.6027124288
127	0.6024049536
128	0.6020768548
129	0.6015191869
130	0.6011531251
131	0.6008430554
132	0.6003225985
133	0.5998116355
134	0.5994494985
135	0.5990296884
136	0.5985114439
137	0.5980886727
138	0.59770846
139	0.5972636767
140	0.596925574
141	0.5965182201
142	0.5959733703
143	0.5955967151
144	0.5952787439
145	0.5948418326
146	0.5946304318
147	0.5941887167
148	0.593957914
149	0.5936910293
150	0.5933107103
151	0.5931289043
152	0.5928723843
153	0.5923572963
154	0.592014135
155	0.5917526328
156	0.5914112659
157	0.5910742673
158	0.5905837836
159	0.5903162355
160	0.5900171631
161	0.5895262728
162	0.5892744603
163	0.5888437979
164	0.5884913806
165	0.5882108914
166	0.5878529494
167	0.5875838144
168	0.5872252685
169	0.5869767352
170	0.5867342286
171	0.5865409055
172	0.5861732813
173	0.5859173579
